%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11
1518220929971329709,0,42.4442100525,-76.4838638306,19.0,7.0,59.0,48.0,6.0,235.080001831,3.25643324852,260.0,16.0,336.0
1518220929987598645,0,42.4442100525,-76.4838638306,19.0,7.0,59.0,64.0,6.0,235.080001831,3.25643324852,260.0,16.0,392.0
1518220929998525712,0,42.4442100525,-76.4838638306,19.0,7.0,59.0,0.0,6.0,235.979995728,3.18441104889,260.0,16.0,736.0
1518220930016015479,0,42.4442100525,-76.4838638306,19.0,7.0,59.0,0.0,6.0,235.979995728,3.18441104889,260.0,16.0,736.0
1518220930031792436,0,42.4442100525,-76.4838638306,19.0,7.0,59.0,16.0,6.0,235.979995728,3.18441104889,260.0,16.0,736.0
1518220930048389861,0,42.4442100525,-76.4838638306,19.0,7.0,59.0,32.0,6.0,235.979995728,3.18441104889,260.0,16.0,736.0
1518220930066509106,0,42.4442100525,-76.4838638306,19.0,7.0,59.0,48.0,6.0,235.979995728,3.18441104889,260.0,16.0,608.0
1518220930081655074,0,42.4442100525,-76.4838638306,19.0,7.0,59.0,64.0,6.0,235.979995728,3.18441104889,260.0,16.0,288.0
1518220930097257136,0,42.4442100525,-76.48387146,19.0,7.0,59.0,0.0,6.0,237.059997559,3.09181118011,260.0,16.0,744.0
1518220930116155390,0,42.4442100525,-76.48387146,19.0,7.0,59.0,0.0,6.0,237.059997559,3.09181118011,260.0,16.0,736.0
1518220930130449589,0,42.4442100525,-76.48387146,19.0,7.0,59.0,16.0,6.0,237.059997559,3.09181118011,260.0,16.0,736.0
1518220930147152638,0,42.4442100525,-76.48387146,19.0,7.0,59.0,32.0,6.0,237.059997559,3.09181118011,260.0,16.0,736.0
1518220930165356675,0,42.4442100525,-76.48387146,19.0,7.0,59.0,48.0,6.0,237.059997559,3.09181118011,260.0,16.0,704.0
1518220930177047596,0,42.4442100525,-76.48387146,19.0,7.0,59.0,64.0,6.0,237.059997559,3.09181118011,260.0,16.0,16.0
1518220930192841324,0,42.4442100525,-76.48387146,19.0,7.0,59.0,0.0,6.0,238.270004272,2.99921107292,260.0,16.0,752.0
1518220930208628802,0,42.4442100525,-76.48387146,19.0,7.0,59.0,16.0,6.0,238.270004272,2.99921107292,260.0,16.0,736.0
1518220930226724089,0,42.4442100525,-76.48387146,19.0,7.0,59.0,0.0,6.0,238.270004272,2.99921107292,260.0,16.0,728.0
1518220930241473130,0,42.4442100525,-76.48387146,19.0,7.0,59.0,16.0,6.0,238.270004272,2.99921107292,260.0,16.0,736.0
